NOM,GEN,Gradation (yes/no),Type (quantitative/qualitative),Affected consonant (k/t/p),Direction (direct/inverse)
v e s i,v e d e n,no,_,_,_
s a t a m a,s a t a m a n,no,_,_,_
e k t o p l a s m a,e k t o p l a s m a n,no,_,_,_
t y ö s t ö,t y ö s t ö n,no,_,_,_
h u l l u u s,h u l l u u d e n,no,_,_,_
t o i v e,t o i v e e n,no,_,_,_
l i i t ä n t ä,l i i t ä n n ä n,yes,qualitative,t,direct
v i l j e l y,v i l j e l y n,no,_,_,_
l ä h e t y s t ö,l ä h e t y s t ö n,no,_,_,_
k a s v i,k a s v i n,no,_,_,_
s u r m a a j a,s u r m a a j a n,no,_,_,_
a l k i o,a l k i o n,no,_,_,_
p u v u s t u s,p u v u s t u k s e n,no,_,_,_
v i h j a i l u,v i h j a i l u n,no,_,_,_
a a v i s t u s,a a v i s t u k s e n,no,_,_,_
a l k u,a l u n,yes,qualitative,k,direct
k u u m e,k u u m e e n,no,_,_,_
k o n f e r e n s s i,k o n f e r e n s s i n,no,_,_,_
p a s k i a i n e n,p a s k i a i s e n,no,_,_,_
k a s v a m i n e n,k a s v a m i s e n,no,_,_,_
o s a l l i s t u j a,o s a l l i s t u j a n,no,_,_,_
p u u h a i l u,p u u h a i l u n,no,_,_,_
v a r u s t a m o,v a r u s t a m o n,no,_,_,_
s y ö t t ä m i n e n,s y ö t t ä m i s e n,no,_,_,_
s u o j a a m i n e n,s u o j a a m i s e n,no,_,_,_
m a l l i n t a m i n e n,m a l l i n t a m i s e n,no,_,_,_
o m i s t a u t u m i n e n,o m i s t a u t u m i s e n,no,_,_,_
m i k k i,m i k i n,yes,quantitative,k,direct
l e d i,l e d i n,no,_,_,_
l ä i k k ä,l ä i k ä n,yes,quantitative,k,direct
b u l l a,b u l l a n,no,_,_,_
k r u u n u,k r u u n u n,no,_,_,_
h y t t y n e n,h y t t y s e n,no,_,_,_
p e i t t o,p e i t o n,yes,quantitative,t,direct
k a l u,k a l u n,no,_,_,_
n ä y t t e i l l e a s e t t a j a,n ä y t t e i l l e a s e t t a j a n,no,_,_,_
k a i u t i n,k a i u t t i m e n,yes,quantitative,t,inverse
